Time,Var,Value,EPU
A_2017,ANNUAL_PSC_FNANO_DIFFERENCE_ANOMALY,-1.41E-09,GOM
A_2017,ANNUAL_PSC_FNANO_DIFFERENCE_ANOMALY,-2.52E-09,GB
A_2017,ANNUAL_PSC_FNANO_DIFFERENCE_ANOMALY,-1.19E-09,MAB
A_2018,ANNUAL_PSC_FNANO_DIFFERENCE_ANOMALY,-1.41E-09,GOM
A_2018,ANNUAL_PSC_FNANO_DIFFERENCE_ANOMALY,-2.52E-09,GB
A_2018,ANNUAL_PSC_FNANO_DIFFERENCE_ANOMALY,-1.19E-09,MAB
A_2019,ANNUAL_PSC_FNANO_DIFFERENCE_ANOMALY,-1.41E-09,GOM
A_2019,ANNUAL_PSC_FNANO_DIFFERENCE_ANOMALY,-2.52E-09,GB
A_2019,ANNUAL_PSC_FNANO_DIFFERENCE_ANOMALY,-1.19E-09,MAB
A_2020,ANNUAL_PSC_FNANO_DIFFERENCE_ANOMALY,-1.41E-09,GOM
A_2020,ANNUAL_PSC_FNANO_DIFFERENCE_ANOMALY,-2.52E-09,GB
A_2020,ANNUAL_PSC_FNANO_DIFFERENCE_ANOMALY,-1.19E-09,MAB
A_2021,ANNUAL_PSC_FNANO_DIFFERENCE_ANOMALY,-1.41E-09,GOM
A_2021,ANNUAL_PSC_FNANO_DIFFERENCE_ANOMALY,-2.52E-09,GB
A_2021,ANNUAL_PSC_FNANO_DIFFERENCE_ANOMALY,-1.19E-09,MAB
A_2022,ANNUAL_PSC_FNANO_DIFFERENCE_ANOMALY,-1.41E-09,GOM
A_2022,ANNUAL_PSC_FNANO_DIFFERENCE_ANOMALY,-2.52E-09,GB
A_2022,ANNUAL_PSC_FNANO_DIFFERENCE_ANOMALY,-1.19E-09,MAB
W_199801,WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY,0.002767766,GOM
W_199801,WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY,-0.03194149,GB
W_199801,WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY,0.005965534,MAB
W_199802,WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY,0.01492895,GOM
W_199802,WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY,-0.01173647,GB
W_199802,WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY,0.006030606,MAB
W_199803,WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY,0.03610957,GOM
W_199803,WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY,-0.02302361,GB
W_199803,WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY,-0.01142569,MAB
W_199804,WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY,0.01135986,GOM
W_199804,WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY,0.009469958,GB
W_199804,WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY,-0.008195435,MAB
W_199805,WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY,0.01698295,GOM
W_199805,WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY,0.007601406,GB
W_199805,WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY,-0.0117389,MAB
W_199806,WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY,0.01308063,GOM
W_199806,WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY,0.01679076,GB
W_199806,WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY,-0.006409832,MAB
W_199807,WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY,0.008646368,GOM
W_199807,WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY,0.009767273,GB
W_199807,WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY,-0.007498155,MAB
W_199808,WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY,0.01722853,GOM
W_199808,WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY,0.01801625,GB
W_199808,WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY,-0.006770968,MAB
W_199809,WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY,0.019946,GOM
W_199809,WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY,0.008327931,GB
W_199809,WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY,-0.01786078,MAB
W_199810,WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY,0.02441437,GOM
W_199810,WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY,0.02117497,GB
W_199810,WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY,-0.00434004,MAB
