"","Time","Var","Value","EPU","Units"
"50","A_2014","ANNUAL_PSC_FNANO_DIFFERENCE_ANOMALY",-2.519965e-09,"GB",NA
"51","A_2014","ANNUAL_PSC_FNANO_DIFFERENCE_ANOMALY",-1.18644e-09,"MAB",NA
"52","A_2015","ANNUAL_PSC_FNANO_DIFFERENCE_ANOMALY",-1.409569e-09,"GOM",NA
"53","A_2015","ANNUAL_PSC_FNANO_DIFFERENCE_ANOMALY",-2.519965e-09,"GB",NA
"54","A_2015","ANNUAL_PSC_FNANO_DIFFERENCE_ANOMALY",-1.18644e-09,"MAB",NA
"55","A_2016","ANNUAL_PSC_FNANO_DIFFERENCE_ANOMALY",-1.409569e-09,"GOM",NA
"56","A_2016","ANNUAL_PSC_FNANO_DIFFERENCE_ANOMALY",-2.519965e-09,"GB",NA
"57","A_2016","ANNUAL_PSC_FNANO_DIFFERENCE_ANOMALY",-1.18644e-09,"MAB",NA
"58","A_2017","ANNUAL_PSC_FNANO_DIFFERENCE_ANOMALY",-1.409569e-09,"GOM",NA
"59","A_2017","ANNUAL_PSC_FNANO_DIFFERENCE_ANOMALY",-2.519965e-09,"GB",NA
"60","A_2017","ANNUAL_PSC_FNANO_DIFFERENCE_ANOMALY",-1.18644e-09,"MAB",NA
"61","A_2018","ANNUAL_PSC_FNANO_DIFFERENCE_ANOMALY",-1.409569e-09,"GOM",NA
"62","A_2018","ANNUAL_PSC_FNANO_DIFFERENCE_ANOMALY",-2.519965e-09,"GB",NA
"63","A_2018","ANNUAL_PSC_FNANO_DIFFERENCE_ANOMALY",-1.18644e-09,"MAB",NA
"64","A_2019","ANNUAL_PSC_FNANO_DIFFERENCE_ANOMALY",-1.409569e-09,"GOM",NA
"65","A_2019","ANNUAL_PSC_FNANO_DIFFERENCE_ANOMALY",-2.519965e-09,"GB",NA
"66","A_2019","ANNUAL_PSC_FNANO_DIFFERENCE_ANOMALY",-1.18644e-09,"MAB",NA
"67","A_2020","ANNUAL_PSC_FNANO_DIFFERENCE_ANOMALY",-1.409569e-09,"GOM",NA
"68","A_2020","ANNUAL_PSC_FNANO_DIFFERENCE_ANOMALY",-2.519965e-09,"GB",NA
"69","A_2020","ANNUAL_PSC_FNANO_DIFFERENCE_ANOMALY",-1.18644e-09,"MAB",NA
"70","A_2021","ANNUAL_PSC_FNANO_DIFFERENCE_ANOMALY",-1.409569e-09,"GOM",NA
"71","A_2021","ANNUAL_PSC_FNANO_DIFFERENCE_ANOMALY",-2.519965e-09,"GB",NA
"72","A_2021","ANNUAL_PSC_FNANO_DIFFERENCE_ANOMALY",-1.18644e-09,"MAB",NA
"73","A_2022","ANNUAL_PSC_FNANO_DIFFERENCE_ANOMALY",-1.409569e-09,"GOM",NA
"74","A_2022","ANNUAL_PSC_FNANO_DIFFERENCE_ANOMALY",-2.519965e-09,"GB",NA
"75","A_2022","ANNUAL_PSC_FNANO_DIFFERENCE_ANOMALY",-1.18644e-09,"MAB",NA
"76","W_199801","WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY",0.002767766,"GOM",NA
"77","W_199801","WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY",-0.03194149,"GB",NA
"78","W_199801","WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY",0.005965534,"MAB",NA
"79","W_199802","WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY",0.01492895,"GOM",NA
"80","W_199802","WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY",-0.01173647,"GB",NA
"81","W_199802","WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY",0.006030606,"MAB",NA
"82","W_199803","WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY",0.03610957,"GOM",NA
"83","W_199803","WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY",-0.02302361,"GB",NA
"84","W_199803","WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY",-0.01142569,"MAB",NA
"85","W_199804","WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY",0.01135986,"GOM",NA
"86","W_199804","WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY",0.009469958,"GB",NA
"87","W_199804","WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY",-0.008195435,"MAB",NA
"88","W_199805","WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY",0.01698295,"GOM",NA
"89","W_199805","WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY",0.007601406,"GB",NA
"90","W_199805","WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY",-0.0117389,"MAB",NA
"91","W_199806","WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY",0.01308063,"GOM",NA
"92","W_199806","WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY",0.01679076,"GB",NA
"93","W_199806","WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY",-0.006409832,"MAB",NA
"94","W_199807","WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY",0.008646368,"GOM",NA
"95","W_199807","WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY",0.009767273,"GB",NA
"96","W_199807","WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY",-0.007498155,"MAB",NA
"97","W_199808","WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY",0.01722853,"GOM",NA
"98","W_199808","WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY",0.01801625,"GB",NA
"99","W_199808","WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY",-0.006770968,"MAB",NA
"100","W_199809","WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY",0.019946,"GOM",NA
"101","W_199809","WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY",0.008327931,"GB",NA
"102","W_199809","WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY",-0.01786078,"MAB",NA
"103","W_199810","WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY",0.02441437,"GOM",NA
"104","W_199810","WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY",0.02117497,"GB",NA
"105","W_199810","WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY",-0.00434004,"MAB",NA
"106","W_199811","WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY",0.004449404,"GOM",NA
"107","W_199811","WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY",0.03817094,"GB",NA
"108","W_199811","WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY",-0.005595291,"MAB",NA
"109","W_199812","WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY",-0.005738073,"GOM",NA
"110","W_199812","WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY",0.01768419,"GB",NA
"111","W_199812","WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY",-0.007653933,"MAB",NA
"112","W_199813","WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY",-0.01535301,"GOM",NA
"113","W_199813","WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY",0.02324349,"GB",NA
"114","W_199813","WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY",-0.01679734,"MAB",NA
"115","W_199814","WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY",-0.01597857,"GOM",NA
"116","W_199814","WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY",0.008745224,"GB",NA
"117","W_199814","WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY",-0.01311173,"MAB",NA
"118","W_199815","WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY",-0.005871701,"GOM",NA
"119","W_199815","WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY",0.01817084,"GB",NA
"120","W_199815","WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY",-0.02547151,"MAB",NA
"121","W_199816","WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY",-0.01200259,"GOM",NA
"122","W_199816","WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY",0.03599149,"GB",NA
"123","W_199816","WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY",-0.01559883,"MAB",NA
"124","W_199817","WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY",-0.003008004,"GOM",NA
"125","W_199817","WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY",0.02094917,"GB",NA
"126","W_199817","WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY",-0.01103199,"MAB",NA
"127","W_199818","WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY",-0.01932955,"GOM",NA
"128","W_199818","WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY",-0.008584748,"GB",NA
"129","W_199818","WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY",-0.003013997,"MAB",NA
"130","W_199819","WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY",-0.006294205,"GOM",NA
"131","W_199819","WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY",-0.01414851,"GB",NA
"132","W_199819","WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY",-0.05160738,"MAB",NA
"133","W_199820","WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY",-0.007330769,"GOM",NA
"134","W_199820","WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY",-0.01084629,"GB",NA
"135","W_199820","WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY",-0.02955576,"MAB",NA
"136","W_199821","WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY",0.001774031,"GOM",NA
"137","W_199821","WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY",-0.002457218,"GB",NA
"138","W_199821","WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY",-0.03058784,"MAB",NA
"139","W_199822","WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY",0.01276233,"GOM",NA
"140","W_199822","WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY",-0.002029156,"GB",NA
"141","W_199822","WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY",-0.01178119,"MAB",NA
"142","W_199823","WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY",0.01368752,"GOM",NA
"143","W_199823","WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY",-0.002748101,"GB",NA
"144","W_199823","WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY",-0.0164811,"MAB",NA
"145","W_199824","WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY",0.02264188,"GOM",NA
"146","W_199824","WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY",-0.004533648,"GB",NA
"147","W_199824","WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY",0.008361498,"MAB",NA
"148","W_199825","WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY",0.02935226,"GOM",NA
"149","W_199825","WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY",0.009269363,"GB",NA
"150","W_199825","WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY",0.01746976,"MAB",NA
"151","W_199826","WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY",-0.05756129,"GOM",NA
"152","W_199826","WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY",-0.04070229,"GB",NA
"153","W_199826","WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY",0.003646041,"MAB",NA
"154","W_199827","WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY",-0.04901458,"GOM",NA
"155","W_199827","WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY",-0.02957652,"GB",NA
"156","W_199827","WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY",0.01439904,"MAB",NA
"157","W_199828","WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY",-0.008658618,"GOM",NA
"158","W_199828","WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY",0.0003767161,"GB",NA
"159","W_199828","WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY",0.008808646,"MAB",NA
"160","W_199829","WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY",-0.001493813,"GOM",NA
"161","W_199829","WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY",0.0125412,"GB",NA
"162","W_199829","WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY",0.008089207,"MAB",NA
"163","W_199830","WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY",-0.001754009,"GOM",NA
"164","W_199830","WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY",0.004435205,"GB",NA
"165","W_199830","WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY",0.004977074,"MAB",NA
"166","W_199831","WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY",-0.009891237,"GOM",NA
"167","W_199831","WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY",0.006834127,"GB",NA
"168","W_199831","WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY",0.001520493,"MAB",NA
"169","W_199832","WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY",0.009090405,"GOM",NA
"170","W_199832","WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY",0.01237101,"GB",NA
"171","W_199832","WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY",-0.003758604,"MAB",NA
"172","W_199833","WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY",-0.008961519,"GOM",NA
"173","W_199833","WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY",-0.005633947,"GB",NA
"174","W_199833","WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY",0.001591014,"MAB",NA
"175","W_199834","WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY",0.003463183,"GOM",NA
"176","W_199834","WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY",0.007417571,"GB",NA
"177","W_199834","WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY",0.005040735,"MAB",NA
"178","W_199835","WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY",0.02194472,"GOM",NA
"179","W_199835","WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY",0.009314544,"GB",NA
"180","W_199835","WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY",0.01234937,"MAB",NA
"181","W_199836","WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY",0.01892697,"GOM",NA
"182","W_199836","WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY",0.00981045,"GB",NA
"183","W_199836","WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY",0.008310995,"MAB",NA
"184","W_199837","WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY",-0.01374165,"GOM",NA
"185","W_199837","WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY",-0.01782002,"GB",NA
"186","W_199837","WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY",0.003698784,"MAB",NA
