cruise,cast,date_sampled,latitude,longitude,nearest_station,quarter,year,     0.5,1.414214,2.828427,5.656854,11.31371,22.62742,45.25483,90.50967,181.0193
EN608,1,2018-01-31 19:23:16+00:00,41.1965,-70.8793333333333,L1,1,2018,431.106897276328,12.9851667660143,6.59020087216148,22.4942067103508,12.3707159983098,20.8531583701411,4.69505905903068,0.113214897740281,0
EN608,4,2018-02-01 05:39:58+00:00,41.0218333333333,-70.8725,L2,1,2018,973.424369166758,20.1556092294688,15.5814264289689,49.0831694026313,27.477061378634,32.515680899766,8.47088148788236,1.46801390407772,0
EN608,5,2018-02-01 09:17:29+00:00,40.8593333333333,-70.8838333333333,L3,1,2018,834.961547237587,29.0919121473162,23.1891756463912,33.2316211848726,28.5322483830762,33.6910034172873,0,0,0
EN608,8,2018-02-01 19:15:43+00:00,40.6971666666667,-70.8855,L4,1,2018,861.01647382222,27.4110917507473,31.4963900682732,22.7681436238997,16.3444965014346,26.8654845427044,6.90454225469017,0.373300536541462,0
EN608,9,2018-02-01 23:33:02+00:00,40.5243333333333,-70.8933333333333,L5,1,2018,1606.34633636803,83.5292875360613,62.3473191799659,55.6739831757282,39.5897167453269,31.2728486904423,2.34583540009948,2.80577628778609,0.175951742065266
EN608,12,2018-02-02 09:13:36+00:00,40.359,-70.8793333333333,L6,1,2018,1875.61702579272,78.2092776613546,45.5118388500255,40.3694874252927,17.6009117815497,9.03512078147999,4.11559099940733,1.10190868358391,0
EN608,14,2018-02-02 15:14:57+00:00,40.2146666666667,-70.894,L7,1,2018,913.342064403804,88.1802249538291,68.5783651714082,44.5115768324527,19.0379384727227,14.2710916844253,2.27649233649121,1.07499463344244,0
EN608,15,2018-02-02 19:00:30+00:00,40.1256666666667,-70.7978333333333,L8,1,2018,2166.23649244875,123.355282236502,84.8846223536517,39.7620280128859,28.4307714496624,31.3834309738578,10.9419078800361,1.39261770036988,0
EN608,19,2018-02-03 17:45:08+00:00,39.7686666666667,-70.8858333333333,L11,1,2018,2613.26529764246,150.264438027098,96.6631224019454,44.2141085030921,18.1165562953505,7.71351082353196,3.5984153946124,3.50457833921118,0
EN608,21,2018-02-03 22:37:51+00:00,39.9323333333333,-70.888,L10,1,2018,2511.98656184669,128.375458702203,84.2642115822222,39.1874474875579,21.2928485846834,17.2226014302782,3.82981143865318,1.79041987567324,0
EN608,22,2018-02-04 03:13:08+00:00,40.0858333333333,-70.8571666666667,L9,1,2018,2481.56764249452,131.191154756731,84.8181790875402,31.5566405958592,19.850967970512,15.2614196305287,3.64434919288884,3.83626416007411,0
EN608,30,2018-02-05 00:03:36+00:00,41.3223333333333,-70.576,MVCO,1,2018,384.53302118947,11.0583014690327,9.15492105536632,42.4766971653253,24.4291077337991,28.0926216496668,5.31765784777304,0.491508988872158,0
EN644,1,2019-08-20 19:02:39+00:00,41.1968333333333,-70.881,L1,3,2019,383.006330555414,36.2859777281908,59.57356804123,40.2229856746688,22.0835379925144,5.89121406465126,1.94397236315391,0.320844058945322,0
EN644,2,2019-08-21 00:35:13+00:00,41.0241666666667,-70.872,L2,3,2019,1011.32520091971,42.9806421617428,76.4675309363228,64.3482083479633,48.9701280880935,8.35823872299479,2.91901406880243,2.30261615576372,0.195424909574665
EN644,5,2019-08-21 07:38:54+00:00,40.8626666666667,-70.8813333333333,L3,3,2019,1398.42665333176,5.17800914132946,19.026833605216,19.6828643403657,32.4311222924442,21.641124842169,19.9160984460023,1.94998898631462,0
EN644,7,2019-08-21 20:27:19+00:00,40.3591666666667,-70.8751666666667,L6,3,2019,2864.81327285629,119.787112486422,156.44139586641,148.352764344498,101.526572281856,26.3165115207965,5.81380858577073,0.213653980824198,0
EN644,8,2019-08-22 00:03:10+00:00,40.219,-70.8851666666667,L7,3,2019,2400.00622821881,47.7090124446436,83.8667041469005,54.9190763029989,41.1930690443812,13.8536345009441,1.28506766964867,2.00668919700664,0
EN644,9,2019-08-22 04:23:52+00:00,40.1258333333333,-70.7818333333333,L8,3,2019,2417.66459921694,23.6437890363637,56.2853757464262,34.2185377771677,36.5307428990995,18.5447113720705,5.12524425642464,0.787598893862582,0
EN644,12,2019-08-22 12:57:40+00:00,40.0933333333333,-70.8875,L9,3,2019,1839.17031262051,51.5431786361676,44.7187330440844,13.7107283405006,22.5400889369628,18.1364892384771,3.40921563298679,0.448884072133315,0
EN644,13,2019-08-22 16:55:56+00:00,39.9376666666667,-70.8861666666667,L10,3,2019,2102.04489484455,93.3162040041907,74.3711287329489,38.1398901679656,42.4369228144551,18.5809343883796,4.28163222660782,0.318291489028254,4.21772606614041
EN644,17,2019-08-23 00:57:06+00:00,39.7721666666667,-70.8795,L11,3,2019,1675.69771505787,208.926351705759,64.2034056851078,20.3189277829642,29.1571112443332,11.8718659696711,57.3415275036248,96.3749132100513,0
EN644,19,2019-08-23 21:51:45+00:00,40.3616666666667,-70.7741666666667,u6a,3,2019,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
EN644,22,2019-08-24 02:50:07+00:00,40.5125,-70.8823333333333,L5,3,2019,1808.37362715644,16.73862985295,25.577796033589,13.2057803050214,21.3001992802974,19.9999891575319,13.4149607406582,0.451019516536159,0
EN644,23,2019-08-24 05:17:07+00:00,40.6975,-70.8968333333333,L4,3,2019,2452.29448755459,32.0480337839789,28.4143330373222,18.2589716066456,19.7722488320177,30.9731637686204,26.4018422373015,3.08460907224323,0
