cruise,station,cast,sample_name,DateUTC,Time_start_UTC,Time_end_UTC,lat,lon,depth_bottom,depth_target,avg_angle,depth_TDR,FlowMeterSerial_335,FlowStart_335,FlowEnd_335,TotFlow_335,Vol_Filtered_m3_335,NOAA_335,DNA_335,FlowMeterSerial_150,FlowStart_150,FlowEnd_150,TotFlow_150,Vol_Filtered_m3_150,MorphID_150,DNA_150,SizeFract_150,TaxaPick_150,EtOHchanged,Comments
EN657,L1,1,EN657_L1_B1,201013,18:33:00,18:38:00,41.2033,-70.8644,23,18,45,NA,29914,223502,233783,10281,78.11671303,N,N,29913,199103,208705,9602,72.9575604,Y,Y,Y,Y,NA,no 20um ring net sample; cod end of 20um net came off in water no sample. mesh of 335 cod end came unglued non quantitative. 10m/min wire in/out. no tdr file
EN657,L2,5,EN657_L2_B5,201014,13:34:00,13:46:00,41.03,-70.8878,45,40,20,31,29914,247899,258114,10215,77.61523427,Y,Y,29913,221099,228625,7526,57.18377417,Y,Y,Y,Y,NA,double check TDR for recovery time; 15m/min
EN657,L3,2,EN657_L3_B2,201714,00:40:00,00:48:00,40.8553,-70.8755,54,49,30,43,29914,233783,247899,14116,107.2556678,Y,Y,29913,208705,221097,12392,94.15643496,Y,Y,Y,Y,NA,used spare 335um cod end; seastar TDR file contains this + L1 profile
EN657,L4,6,EN657_L4_B6,201014,19:00:00,19:09:00,40.6949,-70.8996,65,60,35,55,29914,258114,272675,14561,110.6368503,Y,Y,29913,228625,240434,11809,89.72670597,Y,Y,Y,Y,NA,15m/min in and out wire speed
EN657,L5,7,EN657_L5_B7,201014,23:50:00,00:02:00,40.514,-70.8883,79,73,30,66,29914,272675,290655,17980,136.6149694,Y,Y,29913,240434,255835,15401,117.0193072,Y,Y,Y,Y,NA,sparse sample; 75m wire out; 15m/min
EN657,L6,17,EN657_L6_B17,201017,01:15:00,01:26:00,40.3733,-70.8941,91,85,40,72,29914,460207,478678,18471,140.3456674,Y,Y,29913,392247,408015,15768,119.807833,Y,Y,Y,Y,NA,NA
EN657,L7,19,EN657_L7_B19,201017,06:18:00,06:28:00,40.2225,-70.8578,125,120,35,112,29914,478675,503595,24920,189.3462201,Y,Y,29913,408015,428371,20356,154.6682045,Y,Y,Y,Y,NA,335 cod end cracked against haul on retreval. None or minimal sample lost. 140m payout
EN657,L8,15,EN657_L8_B15,201016,12:15:00,12:32:00,40.128,-70.7654,135,130,40,106.5,29914,402905,436095,33190,252.1830275,Y,Y,29913,350886,377865,26979,204.9908375,Y,Y,Y,Y,NA,TDR file contains B14 and B18
EN657,L9,14,EN657_L9_B14,201016,10:14:00,10:30:00,40.1009,-70.8804,145,140,30,123,29914,376192,402905,26713,202.9697262,Y,Y,29913,328420,350886,22466,170.7003283,Y,Y,Y,Y,NA,"non-quantitative; 335- new cod end came away from cod end at top of mesh, using gorilla glue to affix in place."
EN657,L10,9,EN657_L10_B9,201015,08:42:00,09:09:00,39.9308,-70.8775,457,200,40,198,29914,290655,331634,40979,311.3651185,Y,Y,29913,255835,290675,34840,264.7199963,Y,Y,Y,Y,NA,"some external labels may say B8; B8 was aborted due to failed coms on CTD, B9 is correct for all that are labled B8; internal labels changed. 20m/min down and up; 250m payout"
EN657,L11,12,EN657_L11_B12,201015,17:08:00,17:33:00,39.7671,-70.8742,1598,200,30,180,29914,331634,376182,44548,338.482962,Y,Y,29913,290675,328424,37749,286.8230522,Y,Y,Y,Y,NA,"non-quantative 335 sample, mesh on 335 cod end came off in same location, (different end) was glued back in place."
EN657,MVCO,20,EN657_MVCO_B20,201018,02:07:00,02:11:00,41.322,-70.5788,17,12,35,12.7,29914,503631,509125,5494,41.74430711,Y,Y,29913,428403,731731,303328,2304.735564,Y,Y,Y,Y,NA,150um flowmeter value seems oddly high; with new glued cod end. 13m wire out. 8m/min
EN661,L1,1,EN661_L1_B1,210203,19:31:00,19:36:00,41.2022,-70.8788,21,16,25,NA,29914,517121,521758,4637,35.23268148,Y,N,29913,441965,445795,3830,29.100964,N,Y,N,Y,NA,20 um freeze. lot of sediments/mud from suspension not bottom sampling
EN661,L2,2,EN661_L2_B2,210204,02:24:00,02:36:00,41.0328,-70.8921,47,42,40,NA,29914,521795,544068,22273,169.2338828,Y,N,29913,445795,461945,16150,122.7103312,N,Y,N,Y,NA,20 um freeze.
EN661,L3,12,EN661_L3_B12,210206,15:36:00,15:52:00,40.8616,-70.8853,55,50,35,NA,29914,713571,738902,25331,192.469065,Y,N,29913,623665,646855,23190,176.2013982,N,Y,N,Y,NA,20 um frozen. 1st use of the mesh 335 um cod end.
EN661,L4,5,EN661_L4_B5,210204,13:24:00,13:42:00,40.6968,-70.89,66,61,40,NA,29914,544091,559555,15464,117.4979915,Y,N,29913,461944,478375,16431,124.845415,N,Y,N,Y,NA,"wire angle changed to 30 right at bottom. nets were very full. definitely a lot of plankton but also a lle grit, mud, grass. formalin samples in 2 jars. on 20um frozen sample cast number says B04"
EN661,L5,6,EN661_L5_B6,210204,16:16:00,16:30:00,40.5146,-70.8933,77,72,30,NA,29914,559526,588712,29186,221.7599831,Y,N,29913,478376,505715,27339,207.7261762,N,Y,N,Y,NA,20 um freeze.
EN661,L10,7,EN661_L10_B7,210205,01:50:00,02:28:00,39.9396,-70.8898,440,200,45,NA,29914,588715,647752,59037,448.5727446,Y,N,29913,505727,561334,55607,422.5110457,N,Y,N,Y,NA,jelly fish in both nets (2 in 150 frozen sample with zooplankton) 1 in 335. 1 in EtOh sample. 20 um frozen.
EN661,L11,10,EN661_L11_B10,210205,13:55:00,14:33:00,39.7692,-70.8712,1594,200,50,NA,29914,647742,713571,65829,500.1794672,N,N,29913,561336,623673,62337,473.6466822,N,Y,N,Y,NA,we broke the 335 um cod ends = lost sample. wrong date on label/stickers (210206 instead of 210205). 20 um frozen.
EN661,MVCO,14,EN661_MVCO_B14,210207,00:59:00,01:04:00,41.3157,-70.5789,17,12,33,NA,29914,738898,744979,6081,46.20442874,Y,N,29913,646855,655530,8675,65.91406337,N,Y,N,Y,NA,20 um frozen.
EN668,L1,1,EN668_L1_B1,210716,18:47:00,18:51:00,41.1898,-70.8795,21,15,NA,NA,29914,911698,920053,8355,63.48265123,Y,Y,29913,711685,719703,8018,60.92207033,Y,Y,Y,Y,210718,"accidentally labeled jars w date ""210717"" wrote over external labels w wax pencil. externals corrected. ETOH changed at 00:00 on 18JUL and again on 09:00 19JUL"
EN668,L2,2,EN668_L2_B2,210717,05:02:00,05:51:00,41.0284,-70.8797,46,41,NA,NA,29914,920061,55985,135923,1032.765099,Y,Y,29913,719704,745575,25871,196.572073,Y,Y,Y,Y,Y,was at the surface for several minutes while straightening out 20 um net (started descending at 05:08). removed fish from 335 um cod end. 2nd ETOH change at 09:00 (local) on 19JUL
EN668,L3,21,EN668_L3_B21,210721,03:21:00,03:32:00,40.8571,-70.8802,54,49,NA,NA,29914,377526,187545,810018,6154.648736,Y,Y,29913,163303,402015,238712,1813.772668,Y,Y,Y,Y,Y,payout at 10-12m/min. ship speed 1 kt. wire out 59m actual depth 50m.
EN668,L4,5,EN668_L4_B5,210717,13:47:00,14:12:00,40.6909,-70.8762,65,60,NA,NA,29914,55985,2472,946486,7191.554834,Y,Y,29913,754575,799076,44501,338.1258483,Y,Y,Y,Y,Y,centropages typicus - lots of em and blue. strawberry squid removed and put in formalin 150um. changed ETOH end time at 09:00 on 19JUL
EN668,L5,7,EN668_L5_B7,210717,22:27:00,22:41:00,40.5145,-70.876,76,71,NA,NA,29914,2473,49023,46550,353.6944841,Y,Y,29913,799079,841969,42890,325.8852078,Y,Y,Y,Y,210719,descending speed 20m/min. paid out 105m line. ascending speed 10m/min. ETOH samples smelling rotten at ETOH change on 19JUL at 09:00 salps?
EN668,L6,18,EN668_L6_B18,210720,10:08:00,10:29:00,40.377,-70.8942,90,85,NA,NA,29914,324537,377526,52989,402.6190552,Y,Y,29913,111486,163303,51817,393.7140083,Y,Y,Y,Y,210721,payout at 15m/min. retrieve at 15m/min. depth 82m. payout 140m. salpy but able to split. change ETOH at 01:20 UTC on 21JUL
EN668,L7,17,EN668_L7_B17,210720,07:13:00,07:32:00,40.2074,-70.9354,130,125,NA,NA,29914,285514,324537,39023,296.5031118,Y,Y,29913,72128,111486,39358,299.0484964,Y,Y,Y,Y,210721,payout speed 20m/min. total payout 158m. retrieve speed 15m/min. max depths 124.5m. chades ETOH at 01:20 UTC on 21JUL
EN668,L8,15,EN668_L8_B15,210719,15:47:00,16:25:00,40.1348,-70.7717,130,125,NA,NA,29914,236898,285514,48616,369.3922887,Y,Y,29913,24278,72128,47850,363.5720959,Y,Y,Y,Y,Y,"SBE turned off at deployment, unknown error. held out at surface for 5 min while remedied. wide wire angle. 129 m depth (boat depth increase during tow). 20m/min in/out. 180 max wire out. salpy tow. see cruisenote word doc for sampling notes"
