stage_code,stage,taxa_name,esd_eqn,source,,
Not_Staged,Not_Staged,Metridia,,have DW,,
Not_Staged,Not_Staged,Paracalanus,,have DW,,
Not_Staged,Not_Staged,Pontellidae,,,,
Not_Staged,Not_Staged,Temora,,,,
Not_Staged,Not_Staged,Tortanus discaudatus,,,,
Not_Staged,Not_Staged,Undinula vulgaris,,,,
Not_Staged,Not_Staged,Brachyura,,,,
Not_Staged,Not_Staged,Caridea,,,,
Not_Staged,Not_Staged,Creseis,,,,
Not_Staged,Not_Staged,Cumacea,,,,
Not_Staged,Not_Staged,Decapoda,,,,
Not_Staged,Not_Staged,Gammaridae,,have c,,
Not_Staged,Not_Staged,Gammaridea,,have c,,
Not_Staged,Not_Staged,Lucifer,,,,
Not_Staged,Not_Staged,Mysida,,,,
Not_Staged,Not_Staged,Paguridea,,,,
Not_Staged,Not_Staged,Sagitta elegans,,,,
Not_Staged,Not_Staged,Salpidae,,rare,,
Not_Staged,Not_Staged,Calanus,,rare,,
Not_Staged,Not_Staged,Augaptilidae,,rare,,
